; CSV, generated by libsigrok4DSL 0.2.0 on Sun Nov 09 13:07:41 2025
; Channels (16/16)
; Sample rate: 50 kHz
; Sample count: 600.64 K Samples
Time(s), clock, a15, a14, a13, a12, a11, a10, a9, a8, a7, a6, a5, a4, a3, a2, a1
1.18052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.1835,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.18352,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1
1.18354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18358,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1
1.1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18426,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1.18428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.18432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20048,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1
1.2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.20348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.20356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.20362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22052,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.22054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.22358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.22362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22364,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1.22366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22368,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1
1.2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2242,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
1.22422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.24362,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.24364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.24368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.24374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2606,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.26066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.26364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.26368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2637,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1
1.26372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26434,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.28066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.28364,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1
1.28366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.28372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28376,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.30066,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1
1.30068,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.30072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.30374,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.30376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.30378,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.30418,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.3042,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1.30422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32076,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.32078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.32378,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34072,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.34076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.34378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.34382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34384,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.34386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34418,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1.3442,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.34422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34426,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
1.34428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.36378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36382,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.36384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.36386,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.36388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36392,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.36394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38082,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.38084,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1
1.38086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.38384,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1.38386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.38394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38426,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1.38428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38432,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.38434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.38446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.40088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
